bot,popular_app,content,collaborative,hybrid,comment
M3B024571,Miko Music,"['Dance Master', 'Kidlo Stories', 'Phonic Stories', 'Ting Ting Tales', 'Start Smart']","['Dance Master', 'Operation Ouch', ""Da Vinci's Shows"", 'Mikojis', ""Da Vinci's Games""]","['Dance Master', 'Kidlo Stories', 'Ting Ting Tales', 'Start Smart', 'Marvellous Makes']",equal 0.5 weightage and bert wihout tags
M3B024571,Miko Music,"['Dance Master', 'Da Vinci Kids', 'Kidlo Stories', 'Camera', 'Kidoodle']","['Dance Master', 'Operation Ouch', 'Fairy Tales', ""Da Vinci's Shows"", 'Da Vinci Kids']","['Dance Master', 'Da Vinci Kids', 'Kidlo Stories', 'Camera', 'Kidoodle']",equal 0.5 weightage and bert with tags
M3B0276FA,Start Smart,"['Brain Buzz', 'Coding School', 'Da Vinci Kids', 'Spell Master', 'Lingokids']","['Tapping Toes', 'Miko Moves ', 'Phonic Stories', 'World Map Quiz', 'Moral Stories']","['Brain Buzz', 'Coding School', 'Da Vinci Kids', 'Spell Master', 'Lingokids']",equal 0.5 weightage and bert with tags
M3B0276FA,Start Smart,"['Brain Buzz', 'Coding School', 'Da Vinci Kids', 'Spell Master', 'Lingokids']","['Out of this word', 'Phonic Stories', 'Animal stories', 'Adventure Stories', 'Ting Ting Tales']","['Out of this word', 'Phonic Stories', 'Brain Buzz', 'World Map Quiz', 'Adventure Stories']",equal 0.5 weightage and bert with tags
M3B02BCB3,Coding School,"['Spell Master', 'Puzzle Time', 'Kids Tangram', 'Start Smart', 'Quizzard']","['Out of this word', 'Animal stories', 'Miko Moves ', 'Quizzard', 'Backpacking!']","['Out of this word', 'Animal stories', 'Quizzard', 'Miko Moves ', 'Backpacking!']",equal 0.5 weightage and bert with tags and lr=0.0001 epochs=25
M3B026160,Robowalk,"['I Seek You', 'Miko Moves ', 'Mikojis', 'Backpacking!', 'Dance Master']","['Backpacking!', 'Animal stories', 'Phonic Stories', 'Quizzard', 'Miko Moves ']","['Backpacking!', 'Miko Moves ', 'Quizzard', 'Out of this word', 'Phonic Stories']",equal 0.5 weightage and bert with tags and lr=0.0001 epochs=25
M3B026160,Robowalk,"['I Seek You', 'Miko Moves ', 'Mikojis', 'Backpacking!', 'Dance Master']","['Backpacking!', 'Animal stories', 'Phonic Stories', 'Quizzard', 'Miko Moves ']","['Miko Moves ', 'I Seek You', 'Backpacking!', 'Quizzard', 'Out of this word']","coll 0.2,cont 0.8 and bert with tags and lr=0.0001 epochs=25"
M3B0251C7,Lingokids,"['Start Smart', 'Out of this word', 'Brain Buzz', 'Da Vinci Kids', 'Miko Music']","['Animal stories', 'Quizzard', 'Miko Moves ', 'Out of this word', 'Flag-a-thon!']","['Out of this word', 'Quizzard', 'Miko Moves ', 'Animal stories', 'Backpacking!']","coll 0.5,cont 0.5 and bert with tags and lr=0.0001 epochs=25"
M3B0251C7,Lingokids,"['Start Smart', 'Out of this word', 'Brain Buzz', 'Da Vinci Kids', 'Miko Music']","['Animal stories', 'Quizzard', 'Miko Moves ', 'Out of this word', 'Flag-a-thon!']","['Quizzard', 'Miko Moves ', 'Out of this word', 'Animal stories', 'Flag-a-thon!']","Coll 0.8,cont 0.2 and bert with tags and lr=0.0001 epochs=25"
M3B0251C7,Lingokids,"['Start Smart', 'Out of this word', 'Brain Buzz', 'Da Vinci Kids', 'Miko Music']","['Animal stories', 'Quizzard', 'Miko Moves ', 'Out of this word', 'Flag-a-thon!']","['Out of this word', 'Quizzard', 'Backpacking!', 'Miko Moves ', 'Flag-a-thon!']","coll 0.2,cont 0.8 and bert with tags and lr=0.0001 epochs=25"
